S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,MALVIKA DEVI,Bharatiya Janata Party,538535,5768,544303,40.79
2.0,LAMBODAR NIAL,Biju Janata Dal,408267,2223,410490,30.77
3.0,DROUPADI MAJHI,Indian National Congress,300060,3139,303199,22.72
4.0,UMAKANTA TANDI,Independent,9180,14,9194,0.69
5.0,BIRANCHI NARAYAN DURGA,Bahujan Samaj Party,8440,57,8497,0.64
6.0,DR. DHARMANANDA GAHIR,Independent,7775,36,7811,0.59
7.0,SIBA HATI,Samajwadi Party,7138,30,7168,0.54
8.0,RAJARAM SAHU,Independent,6712,18,6730,0.5
9.0,NARESH HIANLA,Independent,6627,14,6641,0.5
10.0,GANGADHAR JAL,Independent,5547,43,5590,0.42
11.0,HIMANSHU TRIPATHY,Samruddha Odisha,4898,8,4906,0.37
12.0,NOTA,None of the Above,19620,95,19715,1.48
