S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54.0
2.0,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84
3.0,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51
4.0,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88
5.0,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49
6.0,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16
7.0,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11
8.0,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09
9.0,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07
10.0,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06
11.0,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05
12.0,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05
13.0,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05
14.0,NOTA,None of the Above,22371,144,22515,1.63
