S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26
2.0,ANJANA UDAILAL,Indian National Congress,495177,3148,498325,33.25
3.0,BHIL ADIVASI MANGILAL NANAMA,Bharat Adivasi Party,42243,568,42811,2.86
4.0,RAMESHWAR LAL BAIRWA (INDORA),Independent,9536,3,9539,0.64
5.0,KUMAWAT RAMESH CHANDRA,Independent,8834,8,8842,0.59
6.0,MEGHWAL RADHESHYAM,Bahujan Samaj Party,8578,35,8613,0.57
7.0,SHYAM LAL MEGHWAL,Independent,7901,6,7907,0.53
8.0,BAPU LAL ANJANA,Independent,7837,9,7846,0.52
9.0,PRAKASH DHAKAR,Ekam Sanatan Bharat Dal,3915,10,3925,0.26
10.0,PRATAP SINGH,Independent,3342,5,3347,0.22
11.0,AZAD PRAKASH CHANDRA MEGHWAL,Akhil Bharatiya Congress Dal (Ambedkar),2764,13,2777,0.19
12.0,JOGENDRA SINGH HODA,Independent,2294,8,2302,0.15
13.0,GAJENDRA,Independent,1637,7,1644,0.11
14.0,KALYAN SINGH BHATI,Independent,1544,18,1562,0.1
15.0,MAHAVIR PRASAD KUMAWAT,Right to Recall Party,1539,10,1549,0.1
16.0,KAMAL,Independent,1490,8,1498,0.1
17.0,MOHAMMAD WAHID KHAN,Pehchan People’s Party,1216,12,1228,0.08
18.0,SITA RAM AHIR,Vishva Shakti Party,1203,23,1226,0.08
19.0,NOTA,None of the Above,5518,72,5590,0.37
