S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,722978,7078,730056,52.76
2.0,KARAN SINGH UCHIYARDA,Indian National Congress,608228,6151,614379,44.4
3.0,SUNIL KUMAR PAREEK,Independent,7424,5,7429,0.54
4.0,MANJU MEGHWAL,Bahujan Samaj Party,6347,48,6395,0.46
5.0,ANANDARAM URF ANAND CHAUHAN,Aazad Samaj Party (Kanshi Ram),3662,18,3680,0.27
6.0,SUNIL BHANDARI,Independent,3236,2,3238,0.23
7.0,VISHEK VISHNOI,Independent,1718,32,1750,0.13
8.0,SHIVA RAM,Independent,1191,4,1195,0.09
9.0,LIKHAMA RAM,Independent,1123,2,1125,0.08
10.0,NARESH KANDARA,Independent,1007,20,1027,0.07
11.0,SATYANARAYAN,Bharatiya Sampuran Krantikari Party,776,6,782,0.06
12.0,PAPPU DAN,Right to Recall Party,650,4,654,0.05
13.0,SHAHNAZ BANO,Dalit Kranti Dal,546,1,547,0.04
14.0,RAM DAYAL BISHNOI,Rashtriya Janshakti Party (Secular),491,12,503,0.04
15.0,BHOM SINGH,Indian Peoples Green Party,483,4,487,0.04
16.0,NOTA,None of the Above,10511,80,10591,0.77
