S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,VIJAYLAKSHMI DEVI,Janata Dal  (United),385625,883,386508,38.73
2.0,HENA SHAHAB,Independent,293084,567,293651,29.42
3.0,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,198063,760,198823,19.92
4.0,SATYENDRA KUSHWAHA,Independent,21558,7,21565,2.16
5.0,JEEWAN KUMAR,Independent,18489,101,18590,1.86
6.0,DILIP KU SINGH,Bahujan Samaj Party,12032,80,12112,1.21
7.0,SANJAY KUMAR SAH,Bhartiya Lok Nayak Party,8851,28,8879,0.89
8.0,DR. RAVINDRA NATH SHUKLA,Independent,8681,12,8693,0.87
9.0,DEVKANT MISHRA,Independent,6162,19,6181,0.62
10.0,PRAMOD KUMAR,Independent,5666,2,5668,0.57
11.0,PRAKASH MANI TIWARI,Independent,4503,6,4509,0.45
12.0,MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent,3920,2,3922,0.39
13.0,DILIP KUMAR SINGH,Independent,1947,6,1953,0.2
14.0,NOTA,None of the Above,26925,39,26964,2.7
