S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party,760935,3291,764226,56.13
2.0,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,547307,6215,553522,40.66
3.0,MANAKBHAI JATRUBHAI SHANKAR,Bahujan Samaj Party,7487,12,7499,0.55
4.0,RAMANBHAI KARSHANBHAI PATEL,Independent,6732,13,6745,0.5
5.0,JAYANTIBHAI KHANDUBHAI SHALUA,Viro Ke Vir Indian Party,4763,11,4774,0.35
6.0,CHIRAGKUMAR BHARATBHAI  PATEL,Independent,3431,9,3440,0.25
7.0,UMESHBHAI MAGANBHAI PATEL,Bahujan Republican  Socialist Party,2813,19,2832,0.21
8.0,NOTA,None of the Above,18169,204,18373,1.35
