S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DR. ALOK KUMAR SUMAN,Janata Dal  (United),510329,1537,511866,48.15
2.0,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,383065,1621,384686,36.19
3.0,DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen,29900,92,29992,2.82
4.0,SUJEET KUMAR RAM,Bahujan Samaj Party,29145,127,29272,2.75
5.0,ANIL RAM,Independent,12988,14,13002,1.22
6.0,SATYENDRA BAITHA,Independent,12253,16,12269,1.15
7.0,BHOLA HARIJAN,Independent,11138,2,11140,1.05
8.0,RAM KUMAR MANJHI,Gana Suraksha Party,8531,9,8540,0.8
9.0,NAMI RAM,Independent,6716,0,6716,0.63
10.0,SURENDRA RAM,Bhartiya Rashtriya Dal,6673,39,6712,0.63
11.0,JITENDRA RAM,Bahujan Mukti Party,5942,27,5969,0.56
12.0,NOTA,None of the Above,42713,150,42863,4.03
