S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85
2.0,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,553309,5505,558814,45.56
3.0,PRAHALAD MALI,Bahujan Samaj Party,13089,55,13144,1.07
4.0,GANESH MEENA,Indian Peoples Green Party,7425,8,7433,0.61
5.0,MAKHAN LAL MEENA,Independent,3314,10,3324,0.27
6.0,JASRAM MEENA,Independent,3044,1,3045,0.25
7.0,VIJENDRA,Aazad Samaj Party (Kanshi Ram),2669,28,2697,0.22
8.0,GIRRAJ PRASAD MEENA,Independent,2512,9,2521,0.21
9.0,JAGDISH PRASAD MEENA,Bharat Adivasi Party,1366,7,1373,0.11
10.0,DULI CHAND SAINI,Rajasthan Raj Party,1253,11,1264,0.1
11.0,JAGDISH PRASAD SHARMA,Bheem Tribal Congress,1023,6,1029,0.08
12.0,NOTA,None of the Above,8105,72,8177,0.67
