S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),613106,2612,615718,53.29
2.0,SHIV CHANDRA RAM,Rashtriya Janata Dal,442553,3060,445613,38.57
3.0,SURENDRA KUMAR PASWAN,Independent,17241,4,17245,1.49
4.0,SHASHI SWARAJ,Bahujan Samaj Party,8591,88,8679,0.75
5.0,HARIWANSH PASWAN,Independent,7113,4,7117,0.62
6.0,SHAILENDRA KUMAR,Independent,6153,8,6161,0.53
7.0,ASHOK KUMAR,Samata Party,4701,20,4721,0.41
8.0,RANDHIR PASWAN,Independent,2671,4,2675,0.23
9.0,RAJ KUMAR PASWAN,Yuva Bihar Sena,1983,7,1990,0.17
10.0,DHARMENDRA KUMAR,Jantantra Awaj Party,1971,7,1978,0.17
11.0,MADHUSUDHAN PASWAN,Independent,1793,8,1801,0.16
12.0,RAJESH KUMAR RAUSHAN,Socialist Unity Centre Of India (COMMUNIST),1694,7,1701,0.15
13.0,MEGHNATH PASWAN,Independent,1680,0,1680,0.15
14.0,BALENDRA DAS,Janshakti Janta Dal,1308,10,1318,0.11
15.0,NOTA,None of the Above,36836,91,36927,3.2
