S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,KRISHAN PAL,Bharatiya Janata Party,787332,1237,788569,53.6
2.0,MAHENDER PRATAP SINGH,Indian National Congress,614908,747,615655,41.84
3.0,KISHAN THAKUR,Bahujan Samaj Party,25164,42,25206,1.71
4.0,SUNIL TEWATIA,Indian National Lok Dal,8057,28,8085,0.55
5.0,NALIN HOODA,Jannayak Janta Party,5335,26,5361,0.36
6.0,SAWATANTAR SINGH CHAUHAN,Jan Shakti Dal,2951,4,2955,0.2
7.0,NEERAJ JATAV,Independent,2104,4,2108,0.14
8.0,HARI SHANKER RAJVANS,Adim Bhartiya Dal,1584,0,1584,0.11
9.0,ATUL,Independent,1456,2,1458,0.1
10.0,PANDIT SUMIT KUMAR SHARMA,AARAKSHAN VIRODHI PARTY,1439,5,1444,0.1
11.0,BRIJABALA,Peoples Party of India (Democratic),1370,10,1380,0.09
12.0,SHYAM SUNDER SINGH,Bhartiya Shakti Chetna Party,1247,0,1247,0.08
13.0,MAHESH PRATAP SHARMA,Rashtriya Vikas Party,1237,3,1240,0.08
14.0,SATAY DEO YADAV,Buland Bharat Party,953,2,955,0.06
15.0,RANDHEER SINGH ALIAS DHEERU KHATANA,Akhil Bhartiya Kisan Majdoor Party,919,5,924,0.06
16.0,SUNIL KUMAR,Independent,888,1,889,0.06
17.0,BHARAT BHUSHAN KOLI,Rashtra Nirman Party,807,1,808,0.05
18.0,SHIV NARAYAN BABA DUBEY,Kisan Mazdoor Sangharsh Party,769,2,771,0.05
19.0,GYAN CHAND BAINSLA,Samrat Mihir Bhoj Samaj Party,751,5,756,0.05
20.0,RAJESH GAUTAM,Independent,662,1,663,0.05
21.0,SWAMI RAJENDRA DEV JI,Independent,660,3,663,0.05
22.0,GIRRAJ,Independent,612,2,614,0.04
23.0,LEKHRAM DABANG,Independent,610,5,615,0.04
24.0,SHAKILA HUSSAIN,Loktantrik Janshakti Party,547,4,551,0.04
25.0,NOTA,None of the Above,6808,13,6821,0.46
