S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,BHARTRUHARI MAHTAB,Bharatiya Janata Party,529271,2330,531601,47.43
2.0,SANTRUPT MISRA,Biju Janata Dal,473443,1081,474524,42.34
3.0,SURESH MOHAPATRA,Indian National Congress,83461,354,83815,7.48
4.0,PRAMOD KUMAR MALLICK,Bahujan Samaj Party,4461,23,4484,0.4
5.0,NIRANJAN PATI,Independent,4390,6,4396,0.39
6.0,SOBHA PANDEY,Independent,3878,10,3888,0.35
7.0,PRAKASH CHANDRA SAHOO,Krupaa Party,3790,4,3794,0.34
8.0,RAJAKISHORE MALLIK,Socialist Unity Centre Of India (COMMUNIST),3072,3,3075,0.27
9.0,GOKULANANDA MISHRA,Independent,1804,4,1808,0.16
10.0,MINATI PATNAIK,Samruddha Odisha,1241,10,1251,0.11
11.0,NOTA,None of the Above,8130,29,8159,0.73
