S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,MISHA BHARTI,Rashtriya Janata Dal,612147,1136,613283,49.86
2.0,RAM KRIPAL YADAV,Bharatiya Janata Party,526608,1501,528109,42.93
3.0,DR S P SHARMA,Hindustan Vikas Dal,15139,1,15140,1.23
4.0,HARIKESHWAR RAM,Bahujan Samaj Party,10931,34,10965,0.89
5.0,VINDU DEVI,Rashtriya Jansambhavna Party,10741,3,10744,0.87
6.0,SHIV KUMAR SINGH,Apna Kisan Party,9011,5,9016,0.73
7.0,SANJAY KUMAR SINGH,Bhartiya Sarthak Party,4753,0,4753,0.39
8.0,MD FAROOQUE RAZA,All India Majlis-E-Ittehadul Muslimeen,4010,13,4023,0.33
9.0,RAM NIRANJAN ROY,Rashtrawadi Chetna Party,3914,1,3915,0.32
10.0,MRITUNJAY KUMAR,Bhagidari Party(P),3483,0,3483,0.28
11.0,DURGESH NANDAN SINGH,Independent,3104,2,3106,0.25
12.0,NAGESHWAR PRASAD,Peoples Party of India (Democratic),2048,3,2051,0.17
13.0,SUBHASH KUMAR,Bhartiya Lok Chetna Party,1979,0,1979,0.16
14.0,NITESH KUMAR PATEL,Adarsh Jankalyan Dal,1816,1,1817,0.15
15.0,RANJAN KUMAR,Independent,1807,2,1809,0.15
16.0,NIRAJ KUMAR,Independent,1767,4,1771,0.14
17.0,KUNAL KUMAR,Hamara Sahara Party,1607,7,1614,0.13
18.0,KHUSHBOO KUMARI,Akhil Bhartiya Parivar Party,1479,4,1483,0.12
19.0,ANIL DAS,Bhartiya Dalit Party,1465,4,1469,0.12
20.0,ANIL KUMAR CHAND,Socialist Unity Centre Of India (COMMUNIST),1421,3,1424,0.12
21.0,MADHURI KUMARI,All India Forward Bloc,1301,1,1302,0.11
22.0,JAWAHAR SINGH,Bhartiya Manavta Party,1235,2,1237,0.1
23.0,NOTA,None of the Above,5573,33,5606,0.46
