S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
26.0,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,0,268,0.02
27.0,SIVA PARVATHI,Independent,262,4,266,0.02
28.0,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01
29.0,SRIKRISHNA AKKISETTI,Independent,179,0,179,0.01
30.0,MADAVARAPU NAGA RAJU,Independent,172,0,172,0.01
31.0,NOTA,None of the Above,7210,177,7387,0.52
1.0,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88
2.0,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,642186,6081,648267,43.23
3.0,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,17520,526,18046,1.2
4.0,ORSU PREMARAJU,Bahujan Samaj Party,5276,33,5309,0.35
5.0,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,2328,8,2336,0.16
6.0,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,1243,2,1245,0.08
7.0,YAMPATI VEERANJANEYA REDDY,Independent,1056,1,1057,0.07
8.0,SUBBARAO CHALLA,Independent,1051,0,1051,0.07
9.0,ABDUL RAJAK SHAIK,Independent,718,5,723,0.05
10.0,KOTA POTHURAJU,Pyramid Party of India,667,3,670,0.04
11.0,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,385,3,388,0.03
12.0,PASUPULETI PICHAIAH,National Nava Kranthi Party,353,3,356,0.02
13.0,PAPPULA SAMBASIVA RAO,Navarang Congress Party,331,1,332,0.02
14.0,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,305,4,309,0.02
15.0,THOKALA NAGA RAJU,All India Forward Bloc,277,8,285,0.02
16.0,NOTA,None of the Above,11120,79,11199,0.75
1.0,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16
2.0,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17
3.0,J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33
4.0,DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53
5.0,NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23
6.0,BUSSA. NAGARAJU,Independent,1311,7,1318,0.1
7.0,GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08
8.0,KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07
9.0,KONDRU KIRAN KUMAR,Independent,791,6,797,0.06
10.0,KATTA ANAND BABU,Independent,704,25,729,0.06
11.0,MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05
12.0,KATTA HEMANAND,Independent,547,2,549,0.04
13.0,PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03
14.0,PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02
15.0,CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02
16.0,NOTA,None of the Above,13599,124,13723,1.06
1.0,MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829,12065,701894,49.35
2.0,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,644052,7643,651695,45.82
3.0,EDA SUDHAKARA REDDY,Indian National Congress,25803,919,26722,1.88
4.0,DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party,6238,76,6314,0.44
5.0,BUCHI EDUKONDALU,Independent,3046,2,3048,0.21
6.0,PODILI RAMBABU,Independent,3035,38,3073,0.22
7.0,ORSU VEENA,Jai Bharat National Party,2242,25,2267,0.16
8.0,BONTHA RANGA REDDY,Independent,1923,0,1923,0.14
9.0,BODDU KRANTHI KUMAR,Independent,1797,1,1798,0.13
10.0,MOHAN GOUD J V,Independent,1442,5,1447,0.1
11.0,U MADHU BABU,Independent,1006,2,1008,0.07
12.0,KARATAPU RAJU,Independent,730,5,735,0.05
13.0,JAGADEESH RAYAPATI,Independent,713,12,725,0.05
